id,nombre,horasTrabajadas,sueldo
937,Arte,163,$7056.88
938,Theodoric,131,$18006.41
939,Sacha,120,$17243.51
940,Ermina,149,$15809.18
941,Even,117,$6491.74
942,Evangelia,179,$21516.89
943,Clyve,141,$21085.55
944,Tansy,197,$13982.28
945,Jacenta,114,$27036.61
946,Karoly,183,$7624.61
947,Mona,141,$8007.58
948,Shaun,50,$6116.03
949,Rafi,48,$24193.81
950,Torie,44,$18600.80
951,Armin,94,$25558.45
952,Hall,41,$24681.04
953,Dorene,177,$27441.77
954,Frederica,177,$15453.61
955,Siouxie,109,$21767.07
956,Price,105,$23432.84
957,Mathian,49,$15226.89
958,Evonne,151,$14457.61
959,Linnie,102,$23293.95
960,Vere,135,$19164.22
961,Georgeta,72,$14784.17
962,Terra,84,$17210.98
963,Nicholle,195,$23636.54
964,Elvin,154,$11241.45
965,West,98,$26415.88
966,Tammy,140,$8066.16
967,Georgette,170,$13884.49
968,Cyndia,65,$17095.59
969,Shannah,20,$9099.29
970,Shanan,55,$25452.31
971,Danya,36,$6704.15
972,Anestassia,57,$16163.46
973,Nelle,120,$25327.28
974,Pauly,200,$24924.45
975,Britteny,104,$27723.85
976,Iolande,199,$9727.10
977,Cherri,51,$12439.47
978,Izzy,40,$20628.65
979,Walt,24,$23103.97
980,Dav,25,$25167.93
981,Patience,173,$14905.92
982,Pansy,149,$16908.05
983,Brittani,83,$11915.33
984,Gene,123,$26441.46
985,Abbe,137,$8474.71
986,Emiline,88,$10962.84
987,Cheston,106,$6272.24
988,Rutter,49,$11204.02
989,Ami,102,$24446.50
990,Callida,184,$8520.75
991,Dorise,141,$13619.46
992,Lindi,66,$23682.41
993,Kenn,92,$28962.88
994,Nichols,25,$15560.16
995,Calvin,76,$21347.76
996,Tresa,133,$28434.95
997,Tracie,124,$12661.11
998,Gianni,182,$6166.46
999,Nicolis,122,$13100.92
1000,Branden,197,$18729.52
